Timestamp,Faces,Eyes,Driver_State,FCW_State,System_State,FPS,CPU_Usage
2026-05-11 22:42:31.220319,1,1,ALERT,SAFE,SAFE,2053.01,4.2
2026-05-11 22:42:32.173208,1,0,EYES_CLOSED,SAFE,SAFE,0.38,16.5
2026-05-11 22:42:32.444086,1,0,EYES_CLOSED,SAFE,SAFE,3.41,42.2
2026-05-11 22:42:32.714901,1,1,ALERT,SAFE,SAFE,3.69,43.9
2026-05-11 22:42:32.988805,1,0,EYES_CLOSED,SAFE,SAFE,3.69,44.9
2026-05-11 22:42:33.258258,1,0,EYES_CLOSED,SAFE,SAFE,3.65,45.0
2026-05-11 22:42:33.532429,1,1,ALERT,SAFE,SAFE,3.71,43.4
2026-05-11 22:42:33.798099,1,0,EYES_CLOSED,SAFE,SAFE,3.65,42.1
2026-05-11 22:42:34.060620,1,0,EYES_CLOSED,SAFE,SAFE,3.76,43.8
2026-05-11 22:42:34.304560,1,1,ALERT,SAFE,SAFE,3.81,45.2
2026-05-11 22:42:34.549976,1,1,ALERT,SAFE,SAFE,4.1,47.4
2026-05-11 22:42:34.796371,1,0,EYES_CLOSED,SAFE,SAFE,4.07,44.3
2026-05-11 22:42:35.050153,1,0,EYES_CLOSED,SAFE,SAFE,4.06,48.0
2026-05-11 22:42:35.311027,1,0,EYES_CLOSED,SAFE,SAFE,3.94,43.6
2026-05-11 22:42:35.591754,1,0,EYES_CLOSED,SAFE,SAFE,3.83,46.2
2026-05-11 22:42:35.837878,1,0,EYES_CLOSED,SAFE,SAFE,3.56,48.2
2026-05-11 22:42:36.089199,1,0,EYES_CLOSED,SAFE,SAFE,4.06,47.4
2026-05-11 22:42:36.360542,1,0,EYES_CLOSED,SAFE,SAFE,3.98,46.0
2026-05-11 22:42:36.627583,1,0,EYES_CLOSED,SAFE,SAFE,3.69,42.1
2026-05-11 22:42:36.892638,1,0,DROWSY,SAFE,DANGER,3.74,43.8
2026-05-11 22:42:37.142848,1,0,DROWSY,SAFE,DANGER,3.77,44.8
